number_in_quran	sura_no	aya_no	text
5691	78	19	﴿وفُتِحَتْ السَّماء﴾ بِالتَّشْدِيدِ والتَّخْفِيف شُقِّقَتْ لِنُزُولِ المَلائِكَة ﴿فَكانَتْ أبْوابًا﴾ ذات أبْواب
5692	78	20	﴿وسُيِّرَتْ الجِبال﴾ ذُهِبَ بِها عَنْ أماكِنها ﴿فَكانَتْ سَرابًا﴾ هَباء، أيْ مِثْله فِي خِفَّة سَيْرها
5693	78	21	﴿إنَّ جَهَنَّم كانَتْ مِرْصادًا﴾ راصِدَة أوْ مُرْصَدَة
5694	78	22	﴿لِلطّاغِينَ﴾ الكافِرِينَ فَلا يَتَجاوَزُونَها ﴿مَآبًا﴾ مَرْجِعًا لَهُمْ فَيَدْخُلُونَها
5695	78	23	﴿لابِثِينَ﴾ حال مُقَدَّرَة، أيْ مُقَدَّرًا لُبْثهمْ ﴿فِيها أحْقابًا﴾ دُهُورًا لا نِهايَة لَها جَمْع حُقْب بِضَمِّ أوَّله
5696	78	24	﴿لا يَذُوقُونَ فِيها بَرْدًا﴾ نَوْمًا فَإنَّهُمْ لا يَذُوقُونَهُ ﴿ولا شَرابًا﴾ ما يُشْرَب تَلَذُّذًا
5697	78	25	﴿إلّا﴾ لَكِنْ ﴿حَمِيمًا﴾ ماء حارًّا غايَة الحَرارَة ﴿وغَسّاقًا﴾ بِالتَّخْفِيفِ والتَّشْدِيد ما يَسِيل مِن صَدِيد أهْل النّار فَإنَّهُمْ يَذُوقُونَهُ جُوزُوا بِذَلِكَ
5698	78	26	﴿جَزاء وِفاقًا﴾ مُوافِقًا لِعَمَلِهِمْ فَلا ذَنْب أعْظَم مِن الكُفْر ولا عَذاب أعْظَم مِن النّار
5699	78	27	﴿إنَّهُمْ كانُوا لا يَرْجُونَ﴾ يَخافُونَ ﴿حِسابًا﴾ لِإنْكارِهِمْ البَعْث
5700	78	28	﴿وكَذَّبُوا بِآياتِنا﴾ القُرْآن ﴿كِذّابًا﴾ تَكْذِيبًا
5701	78	29	﴿وكُلّ شَيْء﴾ مِن الأَعْمال ﴿أحْصَيْناهُ﴾ ضَبَطْناهُ ﴿كِتابًا﴾ كَتْبًا فِي اللَّوْح المَحْفُوظ لِنُجازِيَ عَلَيْهِ ومِن ذَلِكَ تَكْذِيبهمْ بِالقُرْآنِ
5702	78	30	﴿فَذُوقُوا﴾ أيْ فَيُقال لَهُمْ فِي الآخِرَة عِنْد وُقُوع العَذاب ذُوقُوا جَزاءَكُمْ ﴿فَلَنْ نَزِيدكُمْ إلّا عَذابًا﴾ فَوْق عَذابكُمْ
5703	78	31	﴿إنَّ لِلْمُتَّقِينَ مَفازًا﴾ مَكان فَوْز فِي الجَنَّة
5704	78	32	﴿حَدائِق﴾ بَساتِين بَدَل مِن مَفازًا أوْ بَيان لَهُ ﴿وأَعْنابًا﴾ عَطْف عَلى مَفازًا
5705	78	33	﴿وكَواعِب﴾ جَوارِي تَكَعَّبَتْ ثُدِيّهنَّ جَمْع كاعِب ﴿أتْرابًا﴾ عَلى سِنّ واحِد، جَمْع تِرْب بِكَسْرِ التّاء وسُكُون الرّاء
5706	78	34	﴿وكَأْسًا دِهاقًا﴾ خَمْرًا مالِئَة مَحالّها، وفِي سُورَة القِتال: " وأَنْهار مِن خَمْر "
5707	78	35	﴿لا يَسْمَعُونَ فِيها﴾ أيْ الجَنَّة عِنْد شُرْب الخَمْر وغَيْرها مِن الأَحْوال ﴿لَغْوًا﴾ باطِلًا مِن القَوْل ﴿ولا كِذّابًا﴾ بِالتَّخْفِيفِ، أيْ: كَذِبًا، وبِالتَّشْدِيدِ أيْ تَكْذِيبًا مِن واحِد لِغَيْرِهِ بِخِلافِ ما يَقَع فِي الدُّنْيا عِنْد شُرْب الخَمْر
5708	78	36	﴿جَزاء مِن رَبّك﴾ أيْ جَزاهُمْ اللَّه بِذَلِكَ جَزاء ﴿عَطاء﴾ بَدَل مِن جَزاء ﴿حِسابًا﴾ أيْ كَثِيرًا، مِن قَوْلهمْ: أعْطانِي فَأَحْسَبنِي، أيْ أكْثَر عَلَيَّ حَتّى قُلْت حَسْبِي
5709	78	37	﴿رَبّ السَّماوات والأَرْض﴾ بِالجَرِّ والرَّفْع ﴿وما بَيْنهما الرَّحْمَن﴾ كَذَلِكَ وبِرَفْعِهِ مَعَ جَرّ رَبّ ﴿لا يَمْلِكُونَ﴾ أيْ الخَلْق ﴿مِنهُ﴾ تَعالى ﴿خِطابًا﴾ أيْ لا يَقْدِر أحَد أنْ يُخاطِبهُ خَوْفًا مِنهُ
5710	78	38	﴿يَوْم﴾ ظَرْف ل " لا يَمْلِكُونَ " ﴿يَقُوم الرُّوح﴾ جِبْرِيل أوْ جُنْد اللَّه ﴿والمَلائِكَة صَفًّا﴾ حال، أيْ مُصْطَفِّينَ ﴿لا يَتَكَلَّمُونَ﴾ أيْ الخَلْق ﴿إلّا مَن أذِنَ لَهُ الرَّحْمَن﴾ فِي الكَلام ﴿وقالَ﴾ قَوْلًا ﴿صَوابًا﴾ مِن المُؤْمِنِينَ والمَلائِكَة كَأَنْ يَشْفَعُوا لِمَن اِرْتَضى
5711	78	39	﴿ذَلِكَ اليَوْم الحَقّ﴾ الثّابِت وُقُوعه وهُوَ يَوْم القِيامَة ﴿فَمَن شاءَ اِتَّخَذَ إلى رَبّه مَآبًا﴾ مَرْجِعًا، أيْ رَجَعَ إلى اللَّه بِطاعَتِهِ لِيَسْلَم مِن العَذاب فِيهِ
5712	78	40	﴿إنّا أنْذَرْناكُمْ﴾ يا كُفّار مَكَّة ﴿عَذابًا قَرِيبًا﴾ عَذاب يَوْم القِيامَة الآتِي، وكُلّ آتٍ قَرِيب ﴿يَوْم﴾ ظَرْف لَعِذابًا بِصِفَتِهِ ﴿يَنْظُر المَرْء﴾ كُلّ اِمْرِئٍ ﴿ما قَدَّمَتْ يَداهُ﴾ مِن خَيْر وشَرّ ﴿ويَقُول الكافِر يا﴾ حَرْف تَنْبِيه ﴿لَيْتَنِي كُنْت تُرابًا﴾ يَعْنِي فَلا أُعَذَّب يَقُول ذَلِكَ عِنْدَما يَقُول اللَّه تَعالى لِلْبَهائِمِ بَعْد الِاقْتِصاص مِن بَعْضها: كُونِي تُرابًا.
5713	79	1	﴿والنّازِعات﴾ المَلائِكَة تَنْزِع أرْواح الكُفّار ﴿غَرْقًا﴾ نَزْعًا بِشِدَّةٍ
5714	79	2	﴿والنّاشِطات نَشْطًا﴾ المَلائِكَة تَنْشِط أرْواح المُؤْمِنِينَ، أيْ تَسُلّها بِرِفْقٍ
5715	79	3	﴿والسّابِحات سَبْحًا﴾ المَلائِكَة تَسْبَح مِن السَّماء بِأَمْرِهِ تَعالى، أيْ تَنْزِل
5716	79	4	﴿فالسّابِقات سَبْقًا﴾ المَلائِكَة تَسْبِق بِأَرْواحِ المُؤْمِنِينَ إلى الجَنَّة
5717	79	5	﴿فالمُدَبِّرات أمْرًا﴾ المَلائِكَة تُدَبِّر أمْر الدُّنْيا، أيْ تَنْزِل بِتَدْبِيرِهِ، وجَواب هَذِهِ الأَقْسام مَحْذُوف، أيْ لَتُبْعَثُنَّ يا كُفّار مَكَّة وهُوَ عامِل فِي " يَوْم تَرْجُف الرّاجِفَة "
5718	79	6	﴿يَوْم تَرْجُف الرّاجِفَة﴾ النَّفْخَة الأُولى بِها يَرْجُف كُلّ شَيْء، أيْ يَتَزَلْزَل فَوُصِفَتْ بِما يَحْدُث مِنها
5719	79	7	﴿تَتْبَعها الرّادِفَة﴾ النَّفْخَة الثّانِيَة وبَيْنهما أرْبَعُونَ سَنَة، والجُمْلَة حال مِن الرّاجِفَة، فاليَوْم واسِع لِلنَّفْخَتَيْنِ وغَيْرهما فَصَحَّ ظَرْفِيَّته لِلْبَعْثِ الواقِع عَقِب الثّانِيَة
5720	79	8	﴿قُلُوب يَوْمئِذٍ واجِفَة﴾ خائِفَة قَلِقَة
5721	79	9	﴿أبْصارها خاشِعَة﴾ ذَلِيلَة لِهَوْلِ ما تَرى
5722	79	10	﴿يَقُولُونَ﴾ أيْ أرْباب القُلُوب والأَبْصار اِسْتِهْزاء وإنْكارًا لِلْبَعْثِ ﴿أئِنّا﴾ بِتَحْقِيقِ الهَمْزَتَيْنِ وتَسْهِيل الثّانِيَة وإدْخال ألِف بَيْنهما عَلى الوَجْهَيْنِ فِي المَوْضِعَيْنِ ﴿لَمَرْدُودُونَ فِي الحافِرَة﴾ أيْ أنُرَدُّ بَعْد المَوْت إلى الحَياة، والحافِرَة: اِسْم لِأَوَّلِ الأَمْر، ومِنهُ رَجَعَ فُلان فِي حافِرَته: إذا رَجَعَ مِن حَيْثُ جاءَ
5723	79	11	﴿أئِذا كُنّا عِظامًا نَخِرَة﴾ وفِي قِراءَة ناخِرَة بالِيَة مُتَفَتِّتَة نَحْيا
5724	79	12	﴿قالُوا تِلْكَ﴾ أيْ رَجْعَتنا إلى الحَياة ﴿إذًا﴾ إنْ صَحَّتْ ﴿كَرَّة﴾ رَجْعَة ﴿خاسِرَة﴾ ذات خُسْران
5725	79	13	﴿فَإنَّما هِيَ﴾ أيْ الرّادِفَة الَّتِي يَعْقُبها البَعْث ﴿زَجْرَة﴾ نَفْخَة ﴿واحِدَة﴾ فَإذا نُفِخَتْ
5726	79	14	﴿فَإذا هُمْ﴾ أيْ كُلّ الخَلائِق ﴿بِالسّاهِرَةِ﴾ بِوَجْهِ الأَرْض أحْياء بَعْدَما كانُوا بِبَطْنِها أمْواتًا
5727	79	15	﴿هَلْ أتاك﴾ يا مُحَمَّد ﴿حَدِيث مُوسى﴾ عامِل فِي " إذْ ناداهُ رَبّه بِالوادِ المُقَدَّس طُوًى "
5728	79	16	﴿إذْ ناداهُ رَبّه بِالوادِ المُقَدَّس طُوًى﴾ اِسْم الوادِي بِالتَّنْوِينِ وتَرْكه
5729	79	17	﴿اِذْهَبْ إلى فِرْعَوْن إنَّهُ طَغى﴾ تَجاوَزَ الحَدّ فِي الكُفْر
5730	79	18	﴿فَقُلْ هَلْ لَك﴾ أدْعُوك ﴿إلى أنْ تَزَكّى﴾ وفِي قِراءَة بِتَشْدِيدِ الزّاي بِإدْغامِ التّاء الثّانِيَة فِي الأَصْل فِيها: تَتَطَهَّر مِن الشِّرْك بِأَنْ تَشْهَد أنْ لا إلَه إلّا اللَّه
5731	79	19	﴿وأَهْدِيَك إلى رَبّك﴾ أدُلّك عَلى مَعْرِفَته بِبُرْهانٍ ﴿فَتَخْشى﴾ فَتَخافهُ
5732	79	20	﴿فَأَراهُ الآيَة الكُبْرى﴾ مِن آياته السَّبْع وهِيَ اليَد أوْ العَصا
5733	79	21	﴿فَكَذَّبَ﴾ فِرْعَوْن مُوسى ﴿وعَصى﴾ اللَّه تَعالى
5734	79	22	﴿ثُمَّ أدْبَرَ﴾ عَنْ الإيمان ﴿يَسْعى﴾ فِي الأَرْض بِالفَسادِ
5735	79	23	﴿فَحَشَرَ﴾ جَمَعَ السَّحَرَة وجُنْده " فَنادى "
5736	79	24	﴿فَقالَ أنا رَبّكُمْ الأَعْلى﴾ لا رَبّ فَوْقِي
5737	79	25	﴿فَأَخَذَهُ اللَّه﴾ أهْلَكَهُ بِالغَرَقِ ﴿نَكال﴾ عُقُوبَة ﴿الآخِرَة﴾ أيْ هَذِهِ الكَلِمَة ﴿والأُولى﴾ أيْ قَوْله قَبْلها: " ما عَلِمْت لَكُمْ مِن إلَه غَيْرِي " وكانَ بَيْنهما أرْبَعُونَ سَنَة
5738	79	26	﴿إنَّ فِي ذَلِكَ﴾ المَذْكُور ﴿لَعِبْرَةٌ لِمَن يَخْشى﴾ اللَّه تَعالى
5739	79	27	﴿أأَنَتُّمْ﴾ بِتَحْقِيقِ الهَمْزَتَيْنِ وإبْدال الثّانِيَة ألِفًا وتَسْهِيلها وإدْخال ألِف بَيْن المُسَهَّلَة والأُخْرى وتَرْكه، أيْ مُنْكِرُو البَعْث ﴿أشَدّ خَلْقًا أمْ السَّماء﴾ أشَدّ خَلْقًا ﴿بَناها﴾ بَيان لِكَيْفِيَّةِ خَلْقها
5740	79	28	﴿رَفَعَ سَمْكها﴾ تَفْسِير لِكَيْفِيَّةِ البِناء، أيْ جَعَلَ سَمْتها فِي جِهَة العُلُوّ رَفِيعًا، وقِيلَ سَمْكها سَقْفها ﴿فَسَوّاها﴾ جَعَلَها مُسْتَوِيَة بِلا عَيْب
5741	79	29	﴿وأَغْطَشَ لَيْلها﴾ أظْلَمَهُ ﴿وأَخْرَجَ ضُحاها﴾ أبْرَزَ نُور شَمْسها وأُضِيفَ إلَيْها اللَّيْل لِأَنَّهُ ظِلّها والشَّمْس لِأَنَّها سِراجها
5742	79	30	﴿والأَرْض بَعْد ذَلِكَ دَحاها﴾ بَسَطَها وكانَتْ مَخْلُوقَة قَبْل السَّماء مِن غَيْر دَحْو
5743	79	31	﴿أخْرَجَ﴾ حال بِإضْمارِ قَدْ أيْ مُخْرِجًا ﴿مِنها ماءَها﴾ بِتَفْجِيرِ عُيُونها ﴿ومَرْعاها﴾ ما تَرْعاهُ النَّعَم مِن الشَّجَر والعُشْب وما يَأْكُلهُ النّاس مِن الأَقْوات والثِّمار، وإطْلاق المَرْعى عَلَيْهِ اِسْتِعارَة
5744	79	32	﴿والجِبال أرْساها﴾ أثْبَتَها عَلى وجْه الأَرْض لِتَسْكُن
5745	79	33	﴿مَتاعًا﴾ مَفْعُول لَهُ لِمُقَدَّرٍ، أيْ فَعَلَ ذَلِكَ مُتْعَة أوْ مَصْدَر أيْ تَمْتِيعًا ﴿لَكُمْ ولِأَنْعامِكُمْ﴾ جَمْع نَعَم وهِيَ الإبِل والبَقَر والغَنَم
5746	79	34	﴿فَإذا جاءَتْ الطّامَّة الكُبْرى﴾ النَّفْخَة الثّانِيَة
5747	79	35	﴿يَوْم يَتَذَكَّر الإنْسان﴾ بَدَل مِن إذا ﴿ما سَعى﴾ فِي الدُّنْيا مِن خَيْر وشَرّ
5748	79	36	﴿وبُرِّزَتْ﴾ أُظْهِرَتْ ﴿الجَحِيم﴾ النّار المُحْرِقَة ﴿لِمَن يَرى﴾ لِكُلِّ راءٍ وجَواب إذا: " فَأَمّا مَن طَغى "
5749	79	37	﴿فَأَمّا مَن طَغى﴾ كَفَرَ
5750	79	38	﴿وآثَرَ الحَياة الدُّنْيا﴾ بِاتِّباعِ الشَّهَوات
5751	79	39	﴿فَإنَّ الجَحِيم هِيَ المَأْوى﴾ مَأْواهُ
5752	79	40	﴿وأَمّا مَن خافَ مَقام رَبّه﴾ قِيامه بَيْن يَدَيْهِ ﴿ونَهى النَّفْس﴾ الأَمّارَة ﴿عَنْ الهَوى﴾ المُرْدِي بِاتِّباعِ الشَّهَوات
5753	79	41	﴿فَإنَّ الجَنَّة هِيَ المَأْوى﴾ وحاصِل الجَواب: فالعاصِي فِي النّار والمُطِيع فِي الجَنَّة
5754	79	42	﴿يَسْأَلُونَك﴾ أيْ كُفّار مَكَّة ﴿عَنْ السّاعَة أيّانَ مُرْساها﴾ مَتى وُقُوعها وقِيامها
5755	79	43	﴿فِيمَ﴾ فِي أيّ شَيْء ﴿أنْتَ مِن ذِكْراها﴾ أيْ لَيسَ عِنْدك عِلْمها حَتّى تَذْكُرها
5756	79	44	﴿إلى رَبّك مُنْتَهاها﴾ مُنْتَهى عِلْمها لا يَعْلَمهُ غَيْره
5757	79	45	﴿إنَّما أنْتَ مُنْذِر﴾ إنَّما يَنْفَع إنْذارك ﴿مَن يَخْشاها﴾ يَخافها
5758	79	46	﴿كَأَنَّهُمْ يَوْم يَرَوْنَها لَمْ يَلْبَثُوا﴾ فِي قُبُورهمْ ﴿إلّا عَشِيَّة أوْ ضُحاها﴾ عَشِيَّة يَوْم أوْ بُكْرَته وصَحَّ إضافَة الضُّحى إلى العَشِيَّة لِما بَيْنهما مِن المُلابَسَة إذْ هُما طَرَفا النَّهار، وحَسَّنَ الإضافَة وُقُوع الكَلِمَة الفاصِلَة.
5759	80	1	﴿عَبَسَ﴾ النَّبِيّ: كَلَحَ وجْهه ﴿وتَوَلّى﴾ أعْرَضَ لِأَجْلِ
5760	80	2	﴿أنْ جاءَهُ الأَعْمى﴾ عَبْد اللَّه بْن أُمّ مَكْتُوم فَقَطَعَهُ عَمّا هُوَ مَشْغُول بِهِ مِمَّنْ يَرْجُو إسْلامه مِن أشْراف قُرَيْش الَّذِينَ هُوَ حَرِيص عَلى إسْلامهمْ، ولَمْ يَدْرِ الأَعْمى أنَّهُ مَشْغُول بِذَلِكَ فَناداهُ: عَلِّمْنِي مِمّا عَلَّمَك اللَّه، فانْصَرَفَ النَّبِيّ ﷺ إلى بَيْته فَعُوتِبَ فِي ذَلِكَ بِما نَزَلَ فِي هَذِهِ السُّورَة، فَكانَ بَعْد ذَلِكَ يَقُول لَهُ إذا جاءَ: " مَرْحَبًا بِمَن عاتَبَنِي فِيهِ رَبِّي " ويَبْسُط لَهُ رِداءَهُ
5761	80	3	﴿وما يُدْرِيك﴾ يُعْلِمك ﴿لَعَلَّهُ يَزَّكّى﴾ فِيهِ إدْغام التّاء فِي الأَصْل فِي الزّاي، أيْ يَتَطَهَّر مِن الذُّنُوب بِما يَسْمَع مِنك
5762	80	4	﴿أوْ يَذَّكَّر﴾ فِيهِ إدْغام التّاء فِي الأَصْل فِي الذّال أيْ يَتَّعِظ ﴿فَتَنْفَعهُ الذِّكْرى﴾ العِظَة المَسْمُوعَة مِنك وفِي قِراءَة بِنَصْبِ تَنْفَعهُ جَواب التَّرَجِّي
5763	80	5	﴿أمّا مَن اِسْتَغْنى﴾ بِالمالِ
5764	80	6	﴿فَأَنْتَ لَهُ تَصَدّى﴾ وفِي قِراءَة بِتَشْدِيدِ الصّاد بِإدْغامِ التّاء الثّانِيَة فِي الأَصْل فِيها: تُقْبِل وتَتَعَرَّض
5765	80	7	﴿وما عَلَيْك ألّا يَزَّكّى﴾ يُؤْمِن
5766	80	8	﴿وأَمّا مَن جاءَك يَسْعى﴾ حال مِن فاعِل جاءَ
5767	80	9	﴿وهُوَ يَخْشى﴾ اللَّه حال مِن فاعِل يَسْعى وهُوَ الأَعْمى
5768	80	10	﴿فَأَنْتَ عَنْهُ تَلَهّى﴾ فِيهِ حَذْف التّاء الأُخْرى فِي الأَصْل أيْ تَتَشاغَل
5769	80	11	﴿كَلّا﴾ لا تَفْعَل مِثْل ذَلِكَ ﴿إنَّها﴾ أيْ السُّورَة أوْ الآيات ﴿تَذْكِرَة﴾ عِظَة لِلْخَلْقِ
5770	80	12	﴿فَمَن شاءَ ذَكَرَهُ﴾ حَفِظَ ذَلِكَ فاتَّعَظَ بِهِ
5771	80	13	﴿فِي صُحُف﴾ خَبَر ثانٍ لِأَنَّها وما قَبْله اِعْتِراض ﴿مُكَرَّمَة﴾ عِنْد اللَّه
5772	80	14	﴿مَرْفُوعَة﴾ فِي السَّماء ﴿مُطَهَّرَة﴾ مُنَزَّهَة عَنْ مَسّ الشَّياطِين
5773	80	15	﴿بِأَيْدِي سَفَرَة﴾ كَتَبَة يَنْسَخُونَها مِن اللَّوْح المَحْفُوظ
5774	80	16	﴿كِرام بَرَرَة﴾ مُطِيعِينَ لِلَّهِ تَعالى وهُمْ المَلائِكَة
5775	80	17	﴿قُتِلَ الإنْسان﴾ لُعِنَ الكافِر ﴿ما أكْفَرَهُ﴾ اِسْتِفْهام تَوْبِيخ، أيْ ما حَمَلَهُ عَلى الكُفْر
5776	80	18	﴿مِن أيّ شَيْء خَلَقَهُ﴾ اِسْتِفْهام تَقْرِير، ثُمَّ بَيَّنَهُ فَقالَ: " مِن نُطْفَة خَلَقَهُ فَقَدَّرَهُ "
5777	80	19	﴿مِن نُطْفَة خَلَقَهُ فَقَدَّرَهُ﴾ عَلَقَة ثُمَّ مُضْغَة إلى آخِر خَلْقه
5778	80	20	﴿ثُمَّ السَّبِيل﴾ أيْ طَرِيق خُرُوجه مِن بَطْن أُمّه " يَسَّرَهُ "
5779	80	21	﴿ثُمَّ أماتَهُ فَأَقْبَرَهُ﴾ جَعَلَهُ فِي قَبْر يَسْتُرهُ
5780	80	22	﴿ثُمَّ إذا شاءَ أنْشَرَهُ﴾ لِلْبَعْثِ
5781	80	23	﴿كَلّا﴾ حَقًّا ﴿لَمّا يَقْضِ﴾ لَمْ يَفْعَل ﴿ما أمَرَهُ﴾ بِهِ رَبّه
5782	80	24	﴿فَلْيَنْظُرْ الإنْسان﴾ نَظَر اِعْتِبار ﴿إلى طَعامه﴾ كَيْف قُدِّرَ ودُبِّرَ لَهُ
5783	80	25	﴿أنّا صَبَبْنا الماء﴾ مِن السَّحاب " صَبًّا "
5784	80	26	﴿ثُمَّ شَقَقْنا الأَرْض﴾ بِالنَّباتِ " شَقًّا "
5785	80	27	﴿فَأَنْبَتْنا فِيها حَبًّا﴾ كالحِنْطَةِ والشَّعِير
5786	80	28	﴿وعِنَبًا وقَضْبًا﴾ هُوَ القَتّ الرَّطْب " وزَيْتُونًا ونَخْلًا "
5787	80	29	
5788	80	30	﴿وحَدائِق غُلْبًا﴾ بَساتِين كَثِيرَة الأَشْجار
5789	80	31	﴿وفاكِهَة وأَبًّا﴾ ما تَرْعاهُ البَهائِم وقِيلَ التِّبْن
5790	80	32	﴿مَتاعًا﴾ مُتْعَة أوْ تَمْتِيعًا كَما تَقَدَّمَ فِي السُّورَة قَبْلها " لَكُمْ ولِأَنْعامِكُمْ " تَقَدَّمَ فِيها أيْضًا
5791	80	33	﴿فَإذا جاءَتْ الصّاخَّة﴾ النَّفْخَة الثّانِيَة
5792	80	34	
5793	80	35	
5794	80	36	﴿وصاحِبَته﴾ زَوْجَته ﴿وبَنِيهِ﴾ يَوْم بَدَل مِن إذا، وجَوابها دَلَّ عَلَيْهِ
5795	80	37	﴿لِكُلِّ اِمْرِئٍ مِنهُمْ يَوْمئِذٍ شَأْن يُغْنِيه﴾ حال يَشْغَلهُ عَنْ شَأْن غَيْره، أيْ اِشْتَغَلَ كُلّ واحِد بِنَفْسِهِ
5796	80	38	﴿وُجُوه يَوْمئِذٍ مُسْفِرَة﴾ مُضِيئَة
5797	80	39	﴿ضاحِكَة مُسْتَبْشِرَة﴾ فَرِحَة وهُمْ المُؤْمِنُونَ
5798	80	40	﴿ووُجُوه يَوْمئِذٍ عَلَيْها غَبَرَة﴾ غُبار
5799	80	41	﴿تَرْهَقها﴾ تَغْشاها ﴿قَتَرَة﴾ ظُلْمَة وسَواد
5800	80	42	﴿أُولَئِكَ﴾ أهْل هَذِهِ الحالَة ﴿هُمْ الكَفَرَة الفَجَرَة﴾ أيْ الجامِعُونَ بَيْن الكُفْر والفُجُور.
5801	81	1	﴿إذا الشَّمْس كُوِّرَتْ﴾ لُفِّفَتْ وذُهِبَ بِنُورِها
5802	81	2	﴿وإذا النُّجُوم اِنْكَدَرَتْ﴾ اِنْقَضَّتْ وتَساقَطَتْ عَلى الأَرْض
5803	81	3	﴿وإذا الجِبال سُيِّرَتْ﴾ ذُهِبَ بِها عَنْ وجْه الأَرْض فَصارَتْ هَباء مُنْبَثًّا
5804	81	4	﴿وإذا العِشار﴾ النُّوق الحَوامِل ﴿عُطِّلَتْ﴾ تُرِكَتْ بِلا راعٍ أوْ بِلا حَلْب لِما دَهاهُمْ مِن الأَمْر، وإنْ لَمْ يَكُنْ مال أعْجَب إلَيْهِمْ مِنها
5805	81	5	﴿وإذا الوُحُوش حُشِرَتْ﴾ جُمِعَتْ بَعْد البَعْث لِيَقْتَصّ لِبَعْضٍ مِن بَعْض ثُمَّ تَصِير تُرابًا
5806	81	6	﴿وإذا البِحار سُجِّرَتْ﴾ بِالتَّخْفِيفِ والتَّشْدِيد: أُوقِدَتْ فَصارَتْ نارًا
5807	81	7	﴿وإذا النُّفُوس زُوِّجَتْ﴾ قُرِنَتْ بِأَجْسادِها
5808	81	8	﴿وإذا المَوْءُودَة﴾ الجارِيَة تُدْفَن حَيَّة خَوْف العار والحاجَة ﴿سُئِلَتْ﴾ تَبْكِيتًا لِقاتِلِها
5809	81	9	﴿بِأَيِّ ذَنْب قُتِلَتْ﴾ وقُرِئَ بِكَسْرِ التّاء حِكايَة لِما تُخاطَب بِهِ وجَوابها أنْ تَقُول: قُتِلْت بِلا ذَنْب
5810	81	10	﴿وإذا الصُّحُف﴾ صُحُف الأَعْمال ﴿نُشِرَتْ﴾ بِالتَّخْفِيفِ والتَّشْدِيد فُتِحَتْ وبُسِطَتْ
5811	81	11	﴿وإذا السَّماء كُشِطَتْ﴾ نُزِعَتْ عَنْ أماكِنها كَما يُنْزَع الجِلْد عَنْ الشّاة
5812	81	12	﴿وإذا الجَحِيم﴾ النّار ﴿سُعِّرَتْ﴾ بِالتَّخْفِيفِ والتَّشْدِيد أُجِّجَتْ
5813	81	13	﴿وإذا الجَنَّة أُزْلِفَتْ﴾ قُرِّبَتْ لِأَهْلِها لِيَدْخُلُوها وجَواب إذا أوَّل السُّورَة وما عُطِفَ عَلَيْها
5814	81	14	﴿عَلِمَتْ نَفْس﴾ كُلّ نَفْس وقْت هَذِهِ المَذْكُورات وهُوَ يَوْم القِيامَة ﴿ما أحْضَرَتْ﴾ مِن خَيْر وشَرّ
5815	81	15	﴿فَلا أُقْسِم﴾ لا زائِدَة " بِالخُنَّسِ "
5816	81	16	﴿الجَوارِي الكُنَّس﴾ هِيَ النُّجُوم الخَمْسَة: زُحَل والمُشْتَرى والمَرِّيخ والزُّهَرَة وعُطارِد، تَخْنُس بِضَمِّ النُّون، أيْ تَرْجِع فِي مَجْراها وراءَها، بَيْنَما نَرى النَّجْم فِي آخِر البُرْج إذْ كَرَّ راجِعًا إلى أوَّله، وتَكْنِس بِكَسْرِ النُّون: تَدْخُل فِي كِناسها، أيْ تَغِيب فِي المَواضِع الَّتِي تَغِيب فِيها
5817	81	17	﴿واللَّيْل إذا عَسْعَسَ﴾ أقْبَلَ بِظَلامِهِ أوْ أدْبَرَ
5818	81	18	﴿والصُّبْح إذا تَنَفَّسَ﴾ اِمْتَدَّ حَتّى يَصِير نَهارًا بَيِّنًا
5819	81	19	﴿إنَّهُ﴾ أيْ القُرْآن ﴿لَقَوْل رَسُول كَرِيم﴾ عَلى اللَّه تَعالى وهُوَ جِبْرِيل أُضِيفَ إلَيْهِ لِنُزُولِهِ بِهِ
5820	81	20	﴿ذِي قُوَّة﴾ أيْ شَدِيد القُوى ﴿عِنْد ذِي العَرْش﴾ أيْ اللَّه تَعالى ﴿مَكِين﴾ ذِي مَكانَة مُتَعَلِّق بِهِ عِنْد
5821	81	21	﴿مُطاع ثَمَّ﴾ تُطِيعهُ المَلائِكَة فِي السَّماوات ﴿أمِين﴾ عَلى الوَحْي
5822	81	22	﴿وما صاحِبكُمْ﴾ مُحَمَّد ﷺ عُطِفَ عَلى إنَّهُ إلى آخِر المُقْسَم عَلَيْهِ ﴿بِمَجْنُونٍ﴾ كَما زَعَمْتُمْ
5823	81	23	﴿ولَقَدْ رَآهُ﴾ رَأى مُحَمَّد ﷺ جِبْرِيل عَلى صُورَته الَّتِي خُلِقَ عَلَيْها ﴿بِالأُفُقِ المُبِين﴾ البَيِّن وهُوَ الأَعْلى بِناحِيَةِ المَشْرِق
5824	81	24	﴿وما هُوَ﴾ مُحَمَّد ﷺ ﴿عَلى الغَيْب﴾ ما غابَ مِن الوَحْي وخَبَر السَّماء ﴿بِضَنِينِ﴾ أيْ بِمُتَّهَمٍ، وفِي قِراءَة بِالضّادِ، أيْ بِبَخِيلٍ فَيَنْتَقِص شَيْئًا مِنهُ
5825	81	25	﴿وما هُوَ﴾ أيْ القُرْآن ﴿بِقَوْلِ شَيْطان﴾ مُسْتَرِق السَّمْع ﴿رَجِيم﴾ مَرْجُوم
